subject,date,eid,ROI
ZFM-05248,2022-12-28,aa0abb58-dcef-45a9-8cd9-fbcb964c327e,Region4G
ZFM-06305,2023-08-16,238e79e5-40b2-407a-9013-c85ed24fcd5f,Region4G
ZFM-03059,2021-08-27,ba01bf35-8a0d-4ca3-a66e-b3a540b21128,Region1G
ZFM-03061,2021-10-04,efeb393d-112a-4ea1-8bef-a4040efc6553,Region4G
ZFM-03447,2022-01-05,609c1d6b-efcb-4027-8609-23c6f597ed5a,Region4G
ZFM-04022,2023-07-11,afef8af4-2812-49a9-be2a-85ef210a28e3,Region4G
ZFM-03061,2021-09-14,39f5f80b-ac56-460c-a10b-a92e00cfd5e4,Region4G
ZFM-03448,2022-03-24,c4f3df45-15c6-4a63-8463-011f6ead6786,Region6G
ZFM-03061,2021-10-20,db67e1db-7f5d-4095-b25c-f19a844f8b14,Region6G
ZFM-05236,2022-11-30,3b3f2d89-94ed-4ca0-b060-404af091bd53,Region3G
ZFM-06272,2023-07-17,a0cf75ac-84c1-41d5-9d4c-4bf2f1614e69,Region4G
ZFM-03061,2021-09-16,a2fd41dd-fdc4-4fd7-af82-d683efe815b5,Region6G
ZFM-06275,2024-01-11,8eac586e-7e81-4430-b3a4-7a1412adf39d,Region3G
ZFM-04022,2022-07-29,3dffc578-3fa8-4d01-b0df-a61a5593be46,Region5G
ZFM-06275,2023-07-14,7898a185-7a41-417d-a436-8248df0d7ef9,Region5G
ZFM-05248,2023-02-28,b5a05899-dd61-422b-b3ab-8d095c1324e1,Region4G
ZFM-04019,2023-03-28,4f99c144-76e2-4f60-90a2-289f952c8eb6,Region3G
ZFM-06305,2023-07-25,8b9f9da7-0310-4181-963f-d917db08549e,Region4G
ZFM-04022,2022-07-21,8f62399f-e198-47d7-9bec-1d6e475ffc46,Region6G
ZFM-06271,2023-08-25,75c4a165-4976-4239-8fa1-55be9662a0f3,Region5G
ZFM-03059,2021-10-09,f6d846da-6a63-4c5a-9d32-f572ef565e4f,Region1G
ZFM-06948,2024-01-18,c1b69b7c-4ef8-4ad4-871f-b6b30c7e8f63,Region5G
ZFM-06272,2023-10-16,9297ece6-3037-4527-93c4-014263ae382a,Region5G
ZFM-04022,2022-07-22,f930de5b-41d4-4bd7-9a54-8ae4f81b99f7,Region5G
ZFM-05248,2023-06-23,10f2979e-6468-4f48-af70-5b4e35cb9340,Region3G
ZFM-03448,2022-03-23,a20839e3-1756-4d16-9a7f-a2871651be4d,Region6G
ZFM-04019,2022-12-29,cb626478-5372-48c2-803f-0d1ac8255564,Region4G
ZFM-04022,2022-07-14,2130575d-5834-42c0-b4c9-c195cba80cb8,Region5G
ZFM-05236,2023-06-26,7498c624-f308-47f1-b44b-9354026816b9,Region4G
ZFM-06275,2024-01-16,0a64126d-a149-4d28-80d8-00a5ca60c681,Region3G
ZFM-04534,2022-11-24,e414d161-d742-4752-968b-983e240ac1c9,Region4G
ZFM-04019,2023-03-02,89b8ef70-e620-49c2-a0f7-09890ba9fc0e,Region3G
ZFM-06272,2023-09-08,6f224adf-e791-4255-b6ab-e4e1f059813a,Region5G
ZFM-06271,2023-10-18,832c133f-bca6-4a14-9777-dc298fbe7c23,Region6G
ZFM-04534,2022-12-30,51678022-d298-475a-a740-3e46a2159424,Region4G
ZFM-03062,2021-10-12,3bb2a363-6931-4cb8-bd1f-cf87161e834a,Region4G
ZFM-03450,2021-11-06,706049c7-8d9b-4e8f-8f0f-809ea910e1b0,Region1G
ZFM-03061,2021-09-24,8957b21f-3ed3-4536-98a0-0093851acb35,Region4G
ZFM-03448,2022-03-28,2c12c53e-c176-4428-ab4a-4600b105bfea,Region6G
ZFM-04019,2022-06-23,291e25f7-b35f-4d11-815f-1429127059d4,Region5G
ZFM-05248,2023-03-28,6ec2482d-7928-4f76-b11a-056f5409bf8a,Region4G
ZFM-04392,2022-07-29,7daf84bd-3ad7-47bd-b877-2843313713e5,Region6G
ZFM-06272,2023-10-18,f039e269-52c4-451f-9486-0d452b9adc82,Region5G
ZFM-05236,2023-03-13,96799584-c84c-4a7c-9bf9-9419f99ec896,Region3G
ZFM-05236,2023-01-12,7215d155-04c6-48f6-b7c2-7eedf21d0381,Region4G
ZFM-06268,2023-10-04,f0964bbf-8e61-4a36-9b9c-75fe5687f3fa,Region6G
ZFM-03450,2021-11-26,ad9dbfa4-ceaa-48c7-a4bd-40a7316aeedd,Region4G
ZFM-03059,2021-09-13,e9bdcf2b-d0db-42f8-8dfe-3bb82711ff68,Region1G
ZFM-04022,2022-03-28,0ac3c24a-e379-4a3a-bafb-bad6c91dd2af,Region6G
ZFM-04019,2022-03-24,4f3e65d5-a74b-4470-84ad-e1ef40f7b9ac,Region5G
ZFM-06268,2023-09-08,b3b89a59-c455-4ed8-8666-37988b3a2ea8,Region3G
ZFM-05245,2023-02-08,211d0096-754c-4cea-a345-d61ecb61a15e,Region4G
ZFM-06272,2023-07-13,bbfe7d98-c200-4d7f-9d58-cc65b366d012,Region5G
ZFM-05245,2023-07-06,be3208c9-43de-44dc-bdc6-ff8963464f98,Region4G
ZFM-03062,2021-10-05,a6fcb474-3ff3-4ce0-b96e-94fc365b4788,Region4G
ZFM-03059,2021-09-06,9557f20a-e1ef-44d5-9859-20d1c3854175,Region1G
ZFM-03059,2022-04-05,66d51ecb-b6a0-4293-84be-d4ccfb84ada8,Region5G
ZFM-05248,2023-03-02,221ef514-77a1-4d80-afd8-a94bd6bda632,Region4G
ZFM-06271,2023-07-12,a0b2d572-b3a1-4f13-be2a-ad9a8c95a428,Region3G
ZFM-03061,2021-09-07,58861dac-4b4c-4f82-83fb-33d98d67df3a,Region6G
ZFM-06272,2023-10-04,f12dfd3d-147a-4e3f-bbd0-5db521889ae5,Region3G
ZFM-03450,2022-04-01,7ff2e8c0-e4ee-44a0-823a-d1cd27a19581,Region6G
ZFM-03448,2022-07-18,ac7f2db2-8864-4cb8-b1bd-4ff6a6a6b6fb,Region6G
ZFM-05248,2022-11-23,6c6020e4-84d4-468c-823b-02a23a342da2,Region4G
ZFM-04019,2022-03-25,7d8ed0b8-63ea-4f1f-961c-5be0b1db46dd,Region5G
ZFM-06275,2023-08-17,3e38c877-e895-4374-ac41-73bf38864660,Region3G
